1,1389,0.4,,1,2011-03-28 15:00:44 UTC,2011-04-19 04:33:15 UTC,0.111429,0.254735
2,1389,0.6,,2,2011-03-28 15:01:13 UTC,2011-04-19 15:00:54 UTC,0.438571,0.254735
3,1389,0.4,,3,2011-03-28 15:01:40 UTC,2011-04-19 19:10:05 UTC,0.14,0.261922
4,1389,0.5,,4,2011-03-28 15:01:51 UTC,2011-04-19 19:07:01 UTC,0.377143,0.26272
5,3079,0.5,1.0,5,2011-03-28 15:21:26 UTC,2011-04-13 15:25:27 UTC,0.105714,0.313178
6,1389,0.1,,7,2011-03-28 19:26:07 UTC,2011-04-19 19:07:41 UTC,0.101429,0.30105
8,1389,0.25,,9,2011-03-28 19:33:37 UTC,2011-04-19 19:06:08 UTC,0.167143,0.273101
9,1389,0.75,,10,2011-03-28 19:34:15 UTC,2011-04-19 19:10:15 UTC,0.558571,0.265116
10,1389,0.75,,11,2011-03-28 19:43:33 UTC,2011-04-19 19:11:58 UTC,0.657143,0.274698
11,1389,0.6,,8,2011-03-28 19:45:46 UTC,2011-04-19 04:33:30 UTC,0.68,0.253936
12,1389,0.7,,12,2011-03-28 19:46:31 UTC,2011-04-19 19:08:29 UTC,0.101429,0.360941
13,1389,0.3,,13,2011-03-28 19:47:18 UTC,2011-04-19 19:07:41 UTC,0.678571,0.302647
15,1389,,,14,2011-03-28 21:02:39 UTC,2011-03-28 21:02:39 UTC,0.142857,0.389688
16,1389,0.4,,15,2011-03-29 14:07:39 UTC,2011-04-19 19:06:19 UTC,0.327143,0.30105
17,1389,0.25,,16,2011-03-29 14:07:55 UTC,2011-04-19 19:07:15 UTC,0.435714,0.30105
18,1389,0.35,,17,2011-03-29 14:08:03 UTC,2011-04-19 19:06:49 UTC,0.567143,0.302647
19,1389,0.3,,18,2011-03-29 14:08:13 UTC,2011-04-19 19:08:18 UTC,0.804286,0.305043
20,1389,0.2,,19,2011-03-29 14:08:25 UTC,2011-04-19 19:07:26 UTC,0.161429,0.313827
